Epoch,Train Error,Test Error
456,0.029,0.041
457,0.03,0.037
458,0.021,0.033
459,0.031,0.042
460,0.028,0.039
461,0.028,0.043
462,0.028,0.027
463,0.022,0.038
464,0.027,0.039
465,0.029,0.035
466,0.03,0.045
467,0.021,0.036
468,0.028,0.043
469,0.032,0.038
470,0.028,0.047
471,0.028,0.042
472,0.026,0.036
473,0.03,0.043
474,0.031,0.044
475,0.026,0.038
476,0.025,0.035
477,0.031,0.04
478,0.03,0.051
479,0.032,0.041
480,0.031,0.028
481,0.031,0.048
482,0.025,0.045
483,0.032,0.037
484,0.033,0.038
485,0.032,0.038
486,0.028,0.046
487,0.027,0.041
488,0.03,0.035
489,0.028,0.041
490,0.022,0.039
491,0.025,0.035
492,0.03,0.044
493,0.027,0.033
494,0.025,0.042
495,0.029,0.043
496,0.026,0.035
497,0.026,0.037
498,0.025,0.04
499,0.029,0.043
500,0.03,0.048
501,0.035,0.045
502,0.026,0.036
503,0.024,0.046
504,0.026,0.042
505,0.032,0.038
506,0.025,0.035
507,0.025,0.039
508,0.023,0.031
509,0.028,0.04
510,0.032,0.042
511,0.031,0.036
512,0.03,0.041
513,0.027,0.038
514,0.024,0.036
515,0.022,0.035
516,0.025,0.039
517,0.029,0.042
518,0.034,0.04
519,0.029,0.045
520,0.027,0.033
521,0.032,0.048
522,0.029,0.034
523,0.024,0.035
524,0.032,0.041
525,0.023,0.033
526,0.023,0.039
527,0.027,0.046
528,0.028,0.045
529,0.027,0.039
530,0.025,0.034
531,0.034,0.035
532,0.023,0.045
533,0.029,0.035
534,0.031,0.045
535,0.027,0.04
536,0.027,0.044
537,0.027,0.036
538,0.03,0.047
539,0.025,0.035
540,0.029,0.039
541,0.026,0.045
542,0.029,0.036
543,0.022,0.036
544,0.036,0.034
545,0.03,0.038
546,0.028,0.036
547,0.026,0.038
548,0.025,0.04
549,0.033,0.04
550,0.027,0.039
551,0.025,0.05
552,0.026,0.039
553,0.023,0.032
554,0.028,0.036
555,0.032,0.034
556,0.03,0.036
557,0.028,0.043
558,0.027,0.036
559,0.034,0.034
560,0.028,0.041
561,0.034,0.038
562,0.029,0.037
563,0.021,0.036
564,0.025,0.039
565,0.025,0.032
566,0.025,0.04
567,0.033,0.04
568,0.027,0.039
569,0.028,0.039
570,0.025,0.039
571,0.025,0.037
572,0.028,0.036
573,0.027,0.043
574,0.027,0.034
575,0.029,0.039
576,0.028,0.037
577,0.029,0.035
578,0.032,0.025
579,0.023,0.037
580,0.033,0.037
581,0.028,0.031
582,0.03,0.047
583,0.024,0.037
584,0.026,0.037
585,0.03,0.043
586,0.026,0.038
587,0.021,0.041
588,0.025,0.039
589,0.03,0.034
590,0.027,0.044
591,0.029,0.04
592,0.025,0.033
593,0.023,0.041
594,0.024,0.039
595,0.029,0.04
596,0.027,0.038
597,0.029,0.035
598,0.034,0.037
599,0.027,0.036
600,0.035,0.033
601,0.033,0.035
602,0.026,0.036
603,0.028,0.041
604,0.031,0.037
605,0.023,0.038
606,0.022,0.037
607,0.022,0.036
608,0.027,0.037
609,0.022,0.033
610,0.032,0.045
611,0.036,0.036
612,0.031,0.035
613,0.029,0.036
614,0.032,0.043
615,0.03,0.041
616,0.026,0.038
617,0.029,0.037
618,0.026,0.043
619,0.023,0.037
620,0.023,0.034
621,0.028,0.049
622,0.034,0.045
623,0.031,0.039
624,0.029,0.038
625,0.023,0.036
626,0.029,0.037
627,0.026,0.032
628,0.026,0.045
629,0.028,0.04
630,0.025,0.042
631,0.027,0.036
632,0.023,0.04
633,0.033,0.036
634,0.027,0.036
635,0.034,0.051
636,0.028,0.041
637,0.025,0.041
638,0.033,0.045
639,0.028,0.044
640,0.03,0.043
641,0.028,0.041
642,0.027,0.04
643,0.027,0.041
644,0.029,0.044
645,0.031,0.032
646,0.029,0.036
647,0.029,0.046
648,0.029,0.039
649,0.028,0.036
650,0.03,0.04
651,0.037,0.032
652,0.025,0.038
653,0.028,0.035
654,0.025,0.035
655,0.03,0.04
656,0.028,0.038
657,0.025,0.035
658,0.028,0.035
659,0.028,0.039
660,0.025,0.031
661,0.023,0.034
662,0.029,0.04
663,0.025,0.042
664,0.033,0.044
665,0.027,0.042
666,0.027,0.036
667,0.03,0.043
668,0.031,0.035
669,0.028,0.035
670,0.032,0.039
671,0.032,0.041
672,0.028,0.041
673,0.034,0.043
674,0.028,0.041
675,0.029,0.033
676,0.026,0.034
677,0.02,0.035
678,0.033,0.038
679,0.036,0.051
680,0.026,0.036
681,0.028,0.047
682,0.028,0.035
683,0.029,0.034
684,0.026,0.033
685,0.03,0.043
686,0.02,0.035
687,0.032,0.036
688,0.03,0.04
689,0.032,0.041
690,0.027,0.035
691,0.027,0.04
692,0.031,0.045
693,0.031,0.045
694,0.028,0.04
695,0.028,0.035
696,0.028,0.037
697,0.028,0.048
698,0.026,0.037
699,0.028,0.046
700,0.03,0.038
701,0.035,0.05
702,0.027,0.03
703,0.03,0.038
704,0.036,0.041
705,0.025,0.045
706,0.032,0.046
707,0.025,0.034
708,0.025,0.04
709,0.026,0.039
710,0.027,0.043
711,0.031,0.042
712,0.03,0.034
713,0.029,0.039
714,0.031,0.035
715,0.033,0.041
716,0.029,0.048
717,0.027,0.041
718,0.03,0.036
719,0.029,0.037
720,0.025,0.041
721,0.028,0.037
722,0.025,0.046
723,0.031,0.039
724,0.029,0.037
725,0.033,0.044
726,0.029,0.036
727,0.029,0.038
728,0.024,0.036
729,0.024,0.04
730,0.024,0.043
731,0.032,0.04
732,0.024,0.038
733,0.03,0.046
734,0.03,0.045
735,0.032,0.042
736,0.026,0.043
737,0.029,0.041
738,0.026,0.046
739,0.023,0.038
740,0.038,0.043
741,0.026,0.039
742,0.032,0.046
743,0.026,0.041
744,0.027,0.036
745,0.031,0.039
746,0.031,0.038
747,0.027,0.041
748,0.029,0.034
749,0.03,0.033
750,0.029,0.041
751,0.025,0.034
752,0.025,0.037
753,0.026,0.046
754,0.027,0.041
755,0.033,0.043
756,0.029,0.038
757,0.025,0.035
758,0.03,0.037
759,0.037,0.045
760,0.032,0.036
761,0.026,0.039
762,0.026,0.034
763,0.028,0.036
764,0.027,0.04
765,0.03,0.04
766,0.028,0.038
767,0.027,0.038
768,0.021,0.035
769,0.026,0.035
770,0.022,0.038
771,0.026,0.037
772,0.031,0.045
773,0.027,0.032
774,0.026,0.048
775,0.024,0.038
776,0.032,0.037
777,0.029,0.044
778,0.035,0.047
779,0.026,0.042
780,0.028,0.039
781,0.028,0.038
782,0.025,0.038
783,0.03,0.041
784,0.034,0.044
785,0.026,0.034
786,0.038,0.047
787,0.026,0.032
788,0.025,0.033
789,0.032,0.03
790,0.028,0.04
791,0.033,0.037
792,0.033,0.047
793,0.036,0.044
794,0.032,0.037
795,0.027,0.034
796,0.027,0.037
797,0.028,0.049
798,0.03,0.036
799,0.024,0.045
800,0.027,0.049
801,0.028,0.034
802,0.03,0.034
803,0.021,0.032
804,0.032,0.037
805,0.031,0.036
806,0.03,0.036
807,0.034,0.042
808,0.034,0.045
809,0.026,0.04
810,0.028,0.037
811,0.033,0.04
812,0.029,0.04
813,0.029,0.038
814,0.027,0.038
815,0.026,0.042
816,0.026,0.031
817,0.024,0.036
818,0.029,0.038
819,0.037,0.037
820,0.024,0.031
821,0.03,0.036
822,0.036,0.045
823,0.035,0.036
824,0.027,0.044
825,0.031,0.039
826,0.028,0.046
827,0.033,0.046
828,0.031,0.041
829,0.023,0.037
830,0.026,0.033
831,0.027,0.039
832,0.032,0.042
833,0.029,0.04
834,0.03,0.031
835,0.026,0.041
836,0.035,0.04
837,0.03,0.037
838,0.029,0.037
839,0.024,0.042
840,0.029,0.044
841,0.031,0.039
842,0.031,0.044
843,0.026,0.044
844,0.026,0.038
845,0.034,0.044
846,0.023,0.033
847,0.03,0.042
848,0.026,0.043
849,0.031,0.046
850,0.032,0.041
851,0.027,0.034
852,0.028,0.043
853,0.023,0.034
854,0.034,0.038
855,0.03,0.048
856,0.026,0.042
857,0.027,0.038
858,0.029,0.037
859,0.022,0.048
860,0.027,0.033
861,0.031,0.033
862,0.028,0.03
863,0.026,0.038
864,0.027,0.034
865,0.028,0.036
866,0.029,0.041
867,0.032,0.039
868,0.028,0.042
869,0.031,0.047
870,0.029,0.043
871,0.024,0.04
872,0.033,0.036
873,0.033,0.042
874,0.031,0.042
875,0.026,0.038
876,0.032,0.037
877,0.033,0.042
878,0.031,0.043
879,0.026,0.033
880,0.029,0.036
881,0.023,0.036
882,0.033,0.033
883,0.025,0.035
884,0.025,0.037
885,0.029,0.038
886,0.033,0.041
887,0.026,0.035
888,0.028,0.044
889,0.028,0.044
890,0.03,0.041
891,0.032,0.036
892,0.022,0.033
893,0.026,0.037
894,0.032,0.033
895,0.022,0.04
896,0.031,0.038
897,0.028,0.042
898,0.026,0.043
899,0.028,0.04
900,0.027,0.041
901,0.021,0.043
902,0.026,0.036
903,0.028,0.034
904,0.027,0.04
905,0.028,0.034
906,0.032,0.039
907,0.029,0.044
908,0.029,0.037
909,0.032,0.041
910,0.025,0.04
911,0.03,0.038
912,0.025,0.041
913,0.032,0.041
914,0.022,0.036
915,0.029,0.034
916,0.025,0.038
917,0.027,0.043
918,0.034,0.036
919,0.029,0.04
920,0.025,0.038
921,0.033,0.043
922,0.03,0.041
923,0.034,0.038
924,0.028,0.036
925,0.03,0.036
926,0.027,0.038
927,0.025,0.036
928,0.028,0.032
929,0.027,0.037
930,0.026,0.037
931,0.027,0.045
932,0.021,0.039
933,0.028,0.046
934,0.031,0.033
935,0.025,0.039
936,0.035,0.043
937,0.025,0.038
938,0.026,0.037
939,0.023,0.043
940,0.029,0.053
941,0.032,0.04
942,0.029,0.038
943,0.03,0.043
944,0.028,0.044
945,0.027,0.033
946,0.029,0.032
947,0.028,0.037
948,0.026,0.034
949,0.033,0.034
950,0.023,0.032
951,0.025,0.034
952,0.034,0.035
953,0.029,0.037
954,0.029,0.04
955,0.031,0.041
956,0.03,0.044
957,0.026,0.037
958,0.033,0.049
959,0.033,0.035
960,0.033,0.044
961,0.027,0.045
962,0.035,0.04
963,0.022,0.034
964,0.029,0.042
965,0.031,0.04
966,0.028,0.045
967,0.028,0.045
968,0.031,0.042
969,0.022,0.04
970,0.028,0.035
971,0.026,0.048
972,0.028,0.038
973,0.025,0.034
974,0.029,0.047
975,0.035,0.037
976,0.037,0.044
977,0.025,0.039
978,0.032,0.047
979,0.028,0.042
980,0.025,0.034
981,0.026,0.033
982,0.029,0.036
983,0.039,0.038
984,0.027,0.038
985,0.029,0.04
986,0.022,0.04
987,0.028,0.04
988,0.022,0.036
989,0.029,0.039
990,0.031,0.04
991,0.029,0.034
992,0.029,0.036
993,0.034,0.039
994,0.03,0.035
995,0.029,0.043
996,0.029,0.037
997,0.037,0.043
998,0.025,0.047
999,0.028,0.039
1000,0.03,0.043
1001,0.029,0.039
1002,0.029,0.037
1003,0.027,0.039
1004,0.029,0.042
1005,0.026,0.041
1006,0.022,0.044
1007,0.026,0.035
1008,0.029,0.035
1009,0.021,0.037
1010,0.026,0.045
1011,0.025,0.036
1012,0.029,0.043
1013,0.029,0.034
1014,0.038,0.044
1015,0.03,0.036
1016,0.026,0.036
1017,0.028,0.039
1018,0.024,0.042
1019,0.026,0.042
1020,0.029,0.032
1021,0.026,0.03
1022,0.03,0.032
1023,0.03,0.031
1024,0.034,0.043
1025,0.028,0.045
1026,0.026,0.043
1027,0.029,0.042
1028,0.029,0.037
1029,0.022,0.031
1030,0.031,0.042
1031,0.028,0.037
1032,0.023,0.036
1033,0.026,0.041
1034,0.028,0.039
1035,0.027,0.044
1036,0.032,0.044
1037,0.029,0.036
1038,0.027,0.035
1039,0.028,0.047
1040,0.026,0.041
1041,0.033,0.04
1042,0.023,0.043
1043,0.027,0.039
1044,0.026,0.038
1045,0.032,0.038
1046,0.029,0.041
1047,0.025,0.031
1048,0.028,0.04
