Epoch,Train Error,Test Error
711,0.006,0.009
712,0.004,0.011
713,0.005,0.009
714,0.009,0.015
715,0.007,0.008
716,0.004,0.009
717,0.004,0.008
718,0.005,0.006
719,0.007,0.008
720,0.006,0.007
721,0.004,0.009
722,0.007,0.013
723,0.01,0.011
724,0.006,0.009
725,0.007,0.008
726,0.006,0.011
727,0.009,0.013
728,0.006,0.009
729,0.004,0.012
730,0.004,0.01
731,0.006,0.01
732,0.003,0.007
733,0.003,0.011
734,0.005,0.009
735,0.006,0.006
736,0.005,0.012
737,0.006,0.011
738,0.011,0.006
739,0.003,0.011
740,0.004,0.013
741,0.007,0.01
742,0.004,0.009
743,0.005,0.012
744,0.007,0.009
745,0.008,0.009
746,0.005,0.005
747,0.006,0.008
748,0.005,0.01
749,0.01,0.007
750,0.005,0.007
751,0.004,0.007
752,0.003,0.005
753,0.006,0.009
754,0.008,0.008
755,0.007,0.009
756,0.002,0.011
757,0.006,0.014
758,0.008,0.013
759,0.003,0.009
760,0.005,0.013
761,0.008,0.011
762,0.008,0.009
763,0.002,0.006
764,0.007,0.006
765,0.003,0.008
766,0.014,0.008
767,0.008,0.01
768,0.002,0.013
769,0.006,0.011
770,0.004,0.012
771,0.006,0.014
772,0.009,0.011
773,0.003,0.011
774,0.006,0.012
775,0.005,0.006
776,0.004,0.012
777,0.004,0.009
778,0.005,0.011
779,0.004,0.014
780,0.003,0.011
781,0.008,0.007
782,0.003,0.011
783,0.005,0.009
784,0.006,0.009
785,0.007,0.01
786,0.005,0.006
787,0.004,0.008
788,0.006,0.008
789,0.006,0.011
790,0.005,0.008
791,0.006,0.01
792,0.007,0.011
793,0.01,0.009
794,0.005,0.011
795,0.006,0.008
796,0.004,0.014
797,0.01,0.01
798,0.006,0.007
799,0.004,0.007
800,0.003,0.012
801,0.005,0.009
802,0.005,0.009
803,0.008,0.013
804,0.005,0.008
805,0.005,0.008
806,0.006,0.008
807,0.009,0.009
808,0.005,0.008
809,0.008,0.017
810,0.001,0.009
811,0.005,0.007
812,0.005,0.008
813,0.005,0.014
814,0.005,0.006
815,0.005,0.01
816,0.007,0.01
817,0.007,0.008
818,0.006,0.008
819,0.011,0.007
820,0.008,0.007
821,0.004,0.011
822,0.007,0.009
823,0.005,0.008
824,0.006,0.009
825,0.011,0.01
826,0.003,0.012
827,0.007,0.009
828,0.006,0.012
829,0.003,0.01
830,0.007,0.01
831,0.009,0.012
